"","ngram","1810","1820","1830","1840","1850","1860","1870","1880","1890","1900","1910"
"467","collegiën",0,0,0,0,0,0,2,0,0,0,0
"468","combinatie",0,0,0,0,0,0,0,0,0,8,2
"469","comités",0,0,0,0,0,0,2,4,37,4,0
"470","commercie",0,2,0,0,0,0,0,0,0,0,0
"471","commissarissen",0,0,0,0,60,17,8,24,20,0,0
"472","commissatissen",0,0,0,0,2,0,0,0,0,0,0
"473","commissie",0,0,0,2,4,0,2,0,6,4,0
"474","commissien",0,0,7,0,2,6,8,2,0,0,0
"475","commissién",0,2,0,0,0,0,0,0,0,0,0
"476","commissiën",0,0,0,0,0,4,0,0,0,0,2
"477","committenten",0,0,0,0,0,0,0,0,0,4,0
"478","componisten",0,0,0,0,2,0,0,0,3,2,2
"479","composities",0,0,0,0,0,0,0,0,0,2,0
"480","concerten",0,0,0,0,0,0,0,0,1,0,0
"481","concessies",0,0,0,0,0,0,0,0,0,4,4
"482","concurrenten",0,0,0,0,0,0,2,17,11,33,25
"483","concurrentie",0,0,0,10,7,10,9,87,133,166,120
"484","conditie",0,0,0,0,0,0,0,0,0,2,0
"485","confectie",0,0,0,0,0,0,0,0,0,0,2
"486","conferentiën",0,0,0,0,0,0,0,0,6,0,0
"487","confrater",0,0,0,0,0,0,0,0,1,0,0
"488","congresleden",0,0,0,0,0,0,0,0,4,6,0
"489","congressen",0,0,0,0,0,0,0,0,1,6,0
"490","congressisten",0,0,0,0,0,0,0,0,0,0,2
"491","connectiën",0,0,0,0,0,0,0,0,1,0,0
"492","connecties",0,0,0,0,0,0,0,0,0,2,8
"493","conservatoires",0,0,0,0,0,0,0,0,1,0,0
"494","conserven",0,0,0,0,0,0,0,0,2,0,0
"495","consul",0,0,0,0,0,0,0,0,0,0,2
"496","consulaten",0,0,2,0,0,0,0,0,1,4,0
"497","consuls",2,5,2,2,12,44,8,25,22,21,40
"498","consumenten",0,0,0,0,0,0,0,2,0,4,2
"499","consumtie",0,0,0,0,0,0,2,0,0,0,0
"500","contract",0,0,0,0,0,0,0,0,1,0,0
"501","contracten",0,0,0,0,0,0,0,0,0,0,2
"502","controle",0,0,0,0,0,0,0,2,3,0,0
"503","correspondenten",0,0,0,0,10,22,21,0,43,51,39
"504","correspondentie",0,0,0,0,14,8,7,0,3,2,2
"505","correspondentiën",0,0,0,0,0,7,0,0,0,0,0
"506","correspondenties",0,0,0,0,0,0,0,2,0,4,0
"507","corresponderende",0,0,0,2,2,0,0,0,0,0,0
"508","coupons",0,0,0,0,55,0,4,10,1,2,5
"509","courant",0,0,0,0,0,2,0,0,2,0,0
"510","couranten",0,0,0,0,0,18,6,0,15,10,11
"511","crediteuren",0,0,0,4,0,0,2,0,17,14,8
"512","crisis",0,0,0,0,0,0,0,0,0,4,2
"513","crushed",0,0,0,0,0,0,0,10,0,0,0
"514","cubes",0,0,0,0,0,0,0,0,0,3,0
"515","daalde",0,0,0,0,0,0,0,0,2,0,0
"516","daalden",0,0,0,0,0,0,2,11,20,0,0
"517","daarentegen",0,0,2,0,0,0,0,0,0,0,0
"518","daarvoor",0,0,0,0,0,0,0,0,0,2,0
"519","dagbladcorrespondenten",0,0,0,0,0,0,0,0,2,0,0
"520","dagbladen",22,49,134,95,547,959,191,48,15,2,17
"521","dagbladenherdacht",0,0,0,0,0,0,0,0,1,0,0
"522","dagbladpers",0,0,0,0,7,38,4,2,0,0,0
"523","dagbladschrijvers",0,0,2,0,0,0,0,0,3,0,0
"524","dame",0,0,0,0,0,0,0,0,1,0,0
"525","dames",0,0,0,0,0,0,8,2,1,2,4
"526","dameshebben",0,0,0,0,0,0,2,0,0,0,0
"527","dan",0,0,2,0,2,0,2,0,2,2,0
"528","de",0,4,4,4,9,17,5,2,10,10,6
"529","debiteur",0,0,0,2,0,0,0,0,0,0,0
"530","debiteuren",0,0,0,0,0,0,0,2,0,0,12
"531","decoraties",0,0,0,0,0,0,4,0,0,0,0
"532","deed",0,0,0,0,0,0,2,0,0,0,0
"533","deelnemers",0,0,3,0,0,0,0,0,3,9,9
"534","deelneming",0,0,0,0,0,0,0,2,0,0,0
"535","dekkingen",0,0,0,0,0,2,0,0,0,0,0
"536","delegatiën",0,0,0,0,0,0,0,0,1,0,0
"537","delicatessen",0,0,0,0,0,0,0,0,0,0,3
"538","departement",0,0,0,0,0,0,0,2,0,0,0
"539","departementen",0,0,0,0,0,0,0,0,2,0,0
"540","depêches",0,0,0,0,2,0,0,0,0,0,0
"541","deputatiën",0,0,0,0,0,0,0,0,3,2,0
"542","deputaties",0,0,0,0,0,0,0,0,2,0,0
"543","deskundigen",0,0,0,0,0,4,0,2,7,10,2
"544","die",0,0,0,0,0,0,2,2,3,0,0
"545","dienst",0,0,0,0,62,7,2,0,3,0,2
"546","dierentuinen",0,0,0,0,0,0,0,0,1,0,0
"547","dieven",0,0,0,0,0,0,0,0,0,0,3
"548","dingen",0,0,0,0,0,0,0,0,0,0,3
"549","diocese",0,0,0,0,0,0,0,0,0,0,3
"550","diplomaat",0,0,0,0,0,0,0,0,1,0,0
"551","diplomaten",0,0,0,0,0,24,4,0,8,11,10
"552","diplomatie",0,2,2,0,6,13,8,0,3,2,0
"553","diplomatieke",0,0,0,0,2,0,0,0,0,4,2
"554","diplomatische",0,0,2,0,0,0,0,0,0,0,0
"555","disconto6",0,0,0,0,0,0,0,0,0,0,2
"556","discontos",0,0,0,0,0,0,0,0,10,2,12
"557","distilleerderij",0,0,0,0,0,0,0,0,0,2,0
"558","districten",0,0,0,0,0,0,0,0,1,0,0
"559","dit",0,0,0,0,2,0,0,0,0,0,0
"560","dito",0,0,0,0,3,30,19,645,9,0,53
"561","divisie",0,0,0,0,0,0,0,0,0,2,0
"562","do",0,0,0,0,0,2,3,0,0,0,0
"563","doctoraten",0,0,0,0,0,0,0,0,0,2,0
"564","doctoren",0,0,0,0,0,0,0,0,2,0,0
"565","documenten",0,0,0,0,0,0,0,0,1,0,0
"566","dokters",0,0,0,0,0,0,0,0,1,0,0
"567","doktoren",0,0,0,0,0,0,0,0,1,0,0
"568","door",0,0,0,0,2,0,2,4,4,0,0
"569","doperwtjes",0,0,0,0,0,0,0,0,2,0,0
"570","dramatische",0,0,0,0,0,0,0,0,2,2,0
"571","dranken",0,0,0,0,0,0,2,0,0,0,0
"572","druiven",0,0,0,0,0,0,0,4,1,4,0
"573","drukpers",0,0,0,0,2,23,4,0,0,0,0
"574","drukpersen",0,0,2,0,0,0,0,0,0,0,0
"575","drukwerken",0,0,0,2,0,0,0,0,0,0,4
"576","dt",0,0,0,0,0,0,0,0,1,0,0
"577","dto",0,0,0,0,0,0,0,0,0,0,2
"578","e",0,0,0,0,0,0,2,0,1,0,0
"579","eaken",0,0,0,0,0,0,0,0,0,2,0
"580","ebrigten",0,0,0,0,3,0,0,0,0,0,0
"581","eegeeringspersonen",0,0,0,0,0,0,0,0,0,2,0
"582","een",0,0,0,0,0,0,0,0,5,0,0
"583","eene",0,3,0,0,0,2,0,0,0,0,0
"584","eereleden",0,0,0,2,0,0,0,4,0,0,0
"585","eerigten",2,0,0,0,0,0,0,0,0,0,0
"586","effecten",31,66,350,882,136,288,1736,684,104,33,60
"587","effectenportefeuille",0,0,0,0,0,0,0,0,0,0,4
"588","effekten",39,402,250,2,11,0,2,0,0,0,0
"589","efiecten",0,0,2,0,0,0,0,0,0,0,0
"590","efïekten",0,2,0,0,0,0,0,0,0,0,0
"591","eflectcn",0,0,0,0,0,0,2,0,0,0,0
"592","eflecten",0,0,2,0,0,0,19,0,0,0,0
"593","efrerten",2,0,0,0,0,0,0,0,0,0,0
"594","eftecten",0,0,0,0,0,2,0,0,0,0,0
"595","eieren",0,0,0,0,0,0,0,5,0,30,47
"596","eifecten",0,0,0,0,0,0,0,5,0,0,0
"597","eigenaars",0,0,0,0,0,0,0,0,3,0,2
"598","eigenaren",0,0,0,0,0,0,0,0,2,2,0
"599","eijdingen",0,0,0,0,25,0,0,0,0,0,0
"600","eikenschors",0,0,0,0,0,0,0,0,0,2,0
"601","eitekten",0,2,2,0,0,0,0,0,0,0,0
"602","element",0,0,0,0,0,0,0,0,0,2,0
"603","élèves",0,0,0,0,0,0,12,3,0,0,0
"604","elfecten",0,0,0,0,0,0,0,3,0,0,0
"605","elïekten",0,2,2,0,0,0,0,0,0,0,0
"606","ellecten",0,0,2,0,0,0,0,0,0,0,0
"607","emissies",0,0,0,0,0,0,0,0,0,0,6
"608","en",11,32,57,77,91,240,103,126,307,257,142
"609","èn",0,0,0,0,0,0,0,0,1,0,0
"610","enkele",0,0,0,0,0,0,0,0,6,0,0
"611","enkelvoudige",0,0,0,0,0,0,0,0,0,2,0
"612","eogge",0,0,0,0,0,0,0,8,35,4,0
"613","er",0,0,0,0,0,0,2,0,0,0,0
"614","ere",0,0,0,0,0,0,0,0,2,0,0
"615","ertsen",0,0,0,0,0,0,0,0,0,0,2
"616","ervaring",0,0,0,0,0,0,0,0,0,0,2
"617","ervaringen",0,0,0,0,0,0,0,0,0,2,0
"618","erwten",0,0,0,0,2,0,0,0,0,0,0
"619","eskader",0,0,0,0,0,0,0,0,0,4,0
"620","eskaders",0,0,0,0,0,0,0,0,8,0,0
"621","etiquetten",0,0,0,0,0,0,0,4,0,0,0
"622","etlecten",0,0,0,0,0,0,2,0,0,0,0
"623","eu",0,0,0,0,0,2,0,0,1,0,0
"624","europesche",0,0,0,0,0,0,2,2,0,0,0
"625","evenarende",0,0,4,0,0,0,0,0,0,0,0
"626","examens",0,0,0,0,0,0,0,0,0,2,0
"627","excursie",0,0,0,0,0,0,0,0,1,0,4
"628","expediteurs",0,0,0,0,0,0,0,0,1,0,0
"629","expeditie",0,0,0,0,0,6,0,0,0,0,0
"630","expeditien",0,0,0,0,0,4,0,0,0,0,0
"631","expedities",0,0,0,0,0,0,0,2,0,0,0
"632","export",0,0,0,0,0,0,0,0,0,2,0
"633","exporteur",0,0,0,0,0,0,0,0,0,0,4
"634","exporteurs",0,0,0,0,0,0,0,0,0,0,2
"635","exportfirmas",0,0,0,0,0,0,0,0,0,2,0
"636","exportzaken",0,0,0,0,0,0,0,0,0,2,0
"637","exposanten",0,0,0,0,0,0,0,0,5,0,0
"638","expositie",0,0,0,0,0,0,2,0,0,0,0
"639","f",0,0,0,0,9,26,72,349,453,139,75
"640","f—",0,0,0,0,3,0,0,0,0,0,0
"641","f——",0,0,0,0,0,0,0,0,20,0,0
"642","ƒ",0,0,0,0,12,55,57,179,16,68,0
"643","ƒ—",0,0,0,0,0,0,0,23,29,19,0
"644","ƒ——",0,0,0,0,0,0,0,0,75,0,0
"645","ƒ—•—",0,0,0,0,0,0,0,0,3,0,0
"646","f0—",0,0,0,0,0,0,0,2,0,0,0
"647","ƒ075",0,0,0,0,0,0,0,0,6,0,0
"648","ƒ24",0,0,0,0,0,0,0,2,0,0,0
"649","ƒ25",0,0,0,0,0,0,0,16,0,0,0
"650","ƒ25—",0,0,0,0,0,0,0,5,0,0,0
"651","ƒ26",0,0,0,0,0,0,0,3,0,0,0
"652","ƒ2850",0,0,0,0,0,0,0,0,2,0,0
"653","ƒ2b",0,0,0,0,0,0,0,4,0,0,0
"654","ƒ2b—",0,0,0,0,0,0,0,2,0,0,0
"655","ƒ32",0,0,0,0,0,0,0,20,0,0,0
"656","ƒ32—",0,0,0,0,0,0,0,2,0,0,0
"657","ƒ34",0,0,0,0,0,0,0,27,0,0,0
"658","ƒ34—",0,0,0,0,0,0,0,24,0,0,0
"659","ƒ340",0,0,0,0,0,0,0,0,2,0,0
"660","ƒ35",0,0,0,0,0,0,0,2,2,0,0
"661","ƒ35—",0,0,0,0,0,0,0,9,0,0,0
"662","ƒ350",0,0,0,0,0,0,0,0,8,0,0
"663","ƒ36",0,0,0,0,0,0,0,45,2,0,0
"664","ƒ36—",0,0,0,0,0,0,0,13,4,0,0
"665","ƒ360",0,0,0,0,0,0,0,0,4,0,0
"666","ƒ37—",0,0,0,0,0,0,0,6,0,0,0
"667","ƒ375",0,0,0,0,0,0,0,6,27,0,0
"668","ƒ385",0,0,0,0,0,0,0,6,0,0,0
"669","ƒ3b",0,0,0,0,0,0,0,24,0,0,0
"670","ƒ3b—",0,0,0,0,0,0,0,9,2,0,0
"671","ƒ3o",0,0,0,0,0,0,0,9,0,0,0
"672","ƒ3o—",0,0,0,0,0,0,0,3,0,0,0
"673","f4—",0,0,0,0,0,0,0,3,0,0,0
"674","ƒ4—",0,0,0,0,0,0,0,7,54,0,0
"675","ƒ42",0,0,0,0,0,0,0,15,0,0,0
"676","ƒ42—",0,0,0,0,0,0,0,2,6,0,0
"677","ƒ425",0,0,0,0,0,0,0,21,22,3,0
"678","ƒ44",0,0,0,0,0,0,0,13,0,0,0
"679","f450",0,0,0,0,0,0,0,5,0,0,0
"680","ƒ450",0,0,0,0,0,0,0,23,41,25,0
"681","ƒ46",0,0,0,0,0,0,0,10,0,0,0
"682","ƒ460",0,0,0,0,0,0,0,3,0,16,0
"683","f470",0,0,0,0,0,0,0,2,0,0,0
"684","ƒ470",0,0,0,0,0,0,0,5,0,0,0
"685","f475",0,0,0,0,0,0,0,2,0,0,0
"686","ƒ475",0,0,0,0,0,0,0,41,43,65,0
"687","f480",0,0,0,0,0,0,0,6,0,0,0
"688","ƒ480",0,0,0,0,0,0,0,9,0,2,0
"689","ƒ485",0,0,0,0,0,0,0,0,0,9,0
"690","f490",0,0,0,0,0,0,0,10,0,0,0
"691","ƒ490",0,0,0,0,0,0,0,2,0,6,0
"692","ƒ4b",0,0,0,0,0,0,0,8,2,0,0
"693","ƒ4o",0,0,0,0,0,0,0,5,2,0,0
"694","ƒ4o—",0,0,0,0,0,0,0,2,0,0,0
"695","f5—",0,0,0,0,0,0,2,0,0,0,0
"696","ƒ5—",0,0,0,0,0,0,0,9,24,22,0
"697","ƒ510",0,0,0,0,0,0,0,0,0,2,0
"698","ƒ525",0,0,0,0,0,0,0,5,49,22,0
"699","ƒ540",0,0,0,0,0,0,0,0,5,0,0
"700","f550",0,0,0,0,0,0,0,8,0,0,0
"701","ƒ550",0,0,0,0,0,0,0,6,27,2,0
"702","f575",0,0,0,0,0,0,0,25,0,0,0
"703","ƒ575",0,0,0,0,0,0,0,36,13,11,0
"704","f580",0,0,0,0,0,0,0,2,0,0,0
"705","ƒ580",0,0,0,0,0,0,0,7,0,0,0
"706","f6—",0,0,0,0,0,0,0,16,0,0,0
"707","ƒ6",0,0,0,0,0,0,0,0,0,12,0
"708","ƒ6—",0,0,0,0,0,0,2,18,38,14,0
"709","f600",0,0,0,0,0,0,0,0,0,0,2
"710","ƒ610",0,0,0,0,0,0,0,0,0,6,0
"711","ƒ625",0,0,0,0,0,0,0,5,6,2,0
"712","ƒ640",0,0,0,0,0,0,0,7,0,0,0
"713","ƒ650",0,0,0,0,0,0,41,3,2,16,0
"714","ƒ660",0,0,0,0,0,0,0,0,0,2,0
"715","ƒ675",0,0,0,0,0,0,5,0,7,14,0
"716","ƒ676",0,0,0,0,0,0,0,0,0,2,0
"717","f7—",0,0,0,0,0,0,0,9,0,0,0
"718","ƒ7—",0,0,0,0,0,16,24,2,26,12,0
"719","ƒ7—a",0,0,0,0,0,0,6,0,0,0,0
"720","ƒ7—a9—boekweit",0,0,0,0,0,0,0,2,0,0,0
"721","ƒ725",0,0,0,0,0,0,0,4,0,0,0
"722","ƒ740",0,0,0,0,0,3,0,0,0,0,0
"723","f750",0,0,0,0,0,0,0,3,0,0,0
"724","ƒ750",0,0,0,0,0,4,2,0,2,9,0
"725","ƒ770",0,0,0,0,0,0,0,4,0,0,0
"726","f775",0,0,0,0,0,0,0,5,0,0,0
"727","ƒ775",0,0,0,0,0,0,0,2,0,0,0
"728","ƒ775a92580ekweit",0,0,0,0,0,0,0,3,0,0,0
"729","ƒ77sa9soboekweit",0,0,0,0,0,0,0,2,0,0,0
"730","ƒ8",0,0,0,0,0,2,0,0,0,0,0
"731","ƒ825",0,0,0,0,0,0,0,10,13,0,0
"732","f9—",0,0,0,0,0,0,0,24,0,0,0
"733","ƒ9—",0,0,0,0,0,0,0,13,17,0,0
"734","fabricaten",0,0,0,0,0,2,0,0,0,0,8
"735","fabriek",2,0,0,0,0,6,2,0,2,11,11
"736","fabriekant",0,0,0,0,2,4,0,0,0,0,0
"737","fabriekanten",0,0,0,0,6,13,0,0,0,0,0
"738","fabrieken",2,0,0,3,4,17,17,10,13,38,21
"739","fabrijken",0,2,8,9,0,2,0,0,0,0,0
"740","fabrijkgoederen",0,0,0,2,0,0,0,0,0,0,0
"741","fabrijkwaren",0,0,0,2,0,0,0,0,0,0,0
"742","fabrikaat",0,0,0,0,0,0,0,8,0,9,2
"743","fabrikant",0,0,0,0,2,0,0,18,8,2,5
"744","fabrikanten",0,0,0,2,0,8,28,63,38,32,32
"745","fabrikaten",0,0,0,0,0,2,0,12,13,28,13
"746","faillietverklaringen",0,0,0,0,0,0,0,0,3,0,0
"747","faken",0,0,0,0,0,0,0,0,1,0,0
"748","familieconnectiën",0,0,0,0,0,0,0,0,1,0,0
"749","families",0,0,0,0,0,0,0,0,2,0,0
"750","ƒb—",0,0,0,0,0,2,0,0,5,0,0
"751","fders",0,0,0,0,0,0,0,0,1,0,0
"752","feizen",0,0,0,0,0,0,0,0,1,0,0
"753","ferm",0,0,0,0,2,0,4,3,2,0,0
"754","ffecten",0,0,0,0,0,0,8,0,0,0,0
"755","filialen",0,0,0,0,0,0,0,0,0,30,2
"756","financieele",0,0,0,0,0,0,0,0,0,0,3
"757","financiers",0,0,0,0,0,0,0,0,0,0,8
"758","firma",0,0,0,0,0,0,18,21,28,31,15
"759","firmaas",0,0,0,0,0,0,0,0,3,0,0
"760","firmas",0,0,0,0,0,0,4,23,67,69,57
"761","fiscale",0,0,0,0,0,0,0,0,1,0,0
"762","fiusche",0,0,0,0,0,0,0,0,1,0,0
"763","flaauw",0,0,0,0,3,0,26,0,0,0,0
"764","flauw",0,0,0,0,0,0,0,7,12,0,0
"765","flauwer",0,0,0,0,0,0,0,0,2,0,0
"766","flauwere",0,0,0,0,0,0,0,0,0,2,0
"767","ƒlbo",0,0,0,0,0,0,0,2,0,0,0
"768","flesschentrekkers",0,0,0,0,0,0,0,0,1,0,0
"769","flo",0,0,0,0,0,0,2,0,0,0,0
"770","floot",0,0,0,0,0,0,0,0,1,0,0
"771","flwgerijen",0,0,0,0,0,0,0,0,1,0,0
"772","fokhengsten",0,0,0,0,0,0,0,0,10,0,0
"773","fondeenmarkt",0,0,0,0,0,2,0,0,0,0,0
"774","fondfen",0,13,0,0,0,0,0,0,0,0,0
"775","fonds",0,0,0,0,2,0,0,0,0,0,0
"776","fondsen",5,65,273,656,1114,1302,480,490,2106,198,113
"777","fondsenhouders",0,0,0,0,0,2,9,21,14,4,0
"778","fondsenmarkt",0,0,0,0,37,25,27,69,193,0,0
"779","fondsenmarkten",0,0,0,0,0,0,0,0,2,0,2
"780","fondsennoteringen",0,0,0,0,2,0,0,0,0,0,0
"781","fondsentnarkt",0,0,0,0,0,0,0,0,1,0,0
"782","fondseu",0,0,0,2,0,0,0,0,0,0,0
"783","fondson",0,0,0,0,0,0,0,0,6,0,0
"784","fondssoorten",0,0,0,0,0,0,0,2,0,0,0
"785","fr",0,0,0,0,0,0,0,0,0,530,956
"786","frankeerzegels",0,0,0,0,0,0,0,0,0,2,0
"787","fruit",0,0,0,0,0,0,0,0,0,2,0
"788","ƒs—",0,0,0,0,0,0,2,4,14,35,0
"789","ftaatkunde",0,2,0,0,0,0,0,0,0,0,0
"790","ganen",0,0,0,0,0,0,0,0,5,0,0
"791","garantie",0,0,0,0,0,0,0,0,1,0,0
"792","garens",0,0,0,0,0,0,0,0,0,0,2
"793","garst",0,0,0,6,0,0,0,0,0,0,0
"794","gasfabrikanten",0,0,0,0,0,0,0,0,1,0,0
"795","gasten",0,0,0,0,0,2,8,0,13,36,42
"796","gavens",0,0,0,0,0,0,0,0,0,0,2
"797","gbanen",0,0,0,0,0,0,0,0,0,2,0
"798","ge»",0,0,0,0,0,0,0,0,0,0,2
"799","geanen",0,0,0,0,0,0,0,0,0,2,0
"800","geani1",0,0,0,0,0,0,0,0,1,0,0
"801","geassocieerden",0,2,8,2,0,0,0,0,0,0,0
"802","gebeurtenissen",0,0,4,2,5,8,0,4,4,2,11
"803","gebruikers",2,0,0,0,0,0,0,0,0,0,0
"804","gecons",0,0,0,0,2,0,0,0,0,0,0
"805","geconsolideerde",0,0,0,2,2,0,2,6,2,0,0
"806","gedaan",0,0,0,0,0,0,0,0,2,2,0
"807","gedelegeerden",0,0,0,0,0,4,0,2,43,29,6
"808","gedenkpenningen",0,0,0,0,0,4,0,0,0,0,0
"809","gedistelecrd",0,0,0,2,0,0,0,0,0,0,0
"810","gedisteleerd",0,0,2,0,0,0,0,0,0,0,0
"811","gedistilleerd",0,0,0,0,2,0,12,2,0,0,2
"812","gedroogde",0,0,0,0,0,2,0,0,0,0,0
"813","gedrukt",0,0,0,0,2,0,5,0,0,0,0
"814","geen",0,0,0,2,0,0,0,2,0,0,0
"815","geene",0,0,0,0,2,0,0,0,0,0,0
"816","geestelijke",0,0,12,4,2,0,4,0,0,0,0
"817","geestelijken",0,0,0,0,2,0,5,10,0,2,0
"818","geestelijkheid",0,0,0,3,0,0,0,0,0,0,0
"819","geheel",0,0,0,0,0,2,0,0,0,0,0
"820","geïllustreerde",0,0,0,0,0,2,0,0,2,2,0
"821","gekroonde",0,0,0,0,2,0,0,0,0,0,0
"822","gel",0,0,0,2,0,0,0,0,0,0,0
"823","geldelijke",0,0,0,2,0,0,0,0,0,0,0
"824","geldinstituten",0,0,0,0,0,0,0,0,1,0,0
"825","geldleening",0,0,9,0,2,5,2,0,0,0,0
"826","geldleeningen",0,7,4,0,2,9,0,2,0,0,0
"827","geldloterij",0,0,0,0,0,0,0,0,2,0,0
"828","geldloterijen",0,0,0,0,0,0,0,0,0,2,0
"829","geldloteryen",0,0,0,0,0,0,0,0,0,2,0
"830","geldmarkt",0,0,0,0,0,0,0,0,0,0,3
"831","geldmarkten",0,0,0,0,0,0,0,0,1,0,2
"832","geldmunten",0,0,2,0,0,0,0,0,0,0,0
"833","geldnemen",0,0,0,0,0,2,0,0,0,0,0
"834","geldnemers",0,0,0,0,0,2,0,0,0,0,0
"835","geldschieters",0,0,0,0,0,0,0,0,3,0,0
"836","geldt",0,0,0,0,0,0,0,0,2,0,0
"837","geleerde",0,0,0,0,0,2,0,2,3,4,2
"838","geleerden",0,0,3,8,29,16,35,15,32,53,37
"839","gelijk",0,0,0,0,2,0,0,0,0,0,0
"840","geloofsgenooten",0,0,0,0,0,0,0,2,0,0,0
"841","gelukzoekers",0,0,0,0,0,10,0,0,0,0,0
"842","gemeenschap",0,0,2,0,2,0,0,0,0,0,0
"843","gemeentebesturen",0,0,0,0,0,0,0,0,0,0,6
"844","gemeenten",0,0,0,0,0,0,0,0,0,0,10
"845","gemeenteraadsleden",0,0,0,0,0,0,0,0,0,0,2
"846","gendarmerie",0,0,0,0,0,0,2,0,0,0,0
"847","geneesheeren",0,0,0,0,0,0,0,6,8,0,10
"848","geneeskundige",0,0,0,0,0,0,0,0,2,0,0
"849","geneeskundigen",0,0,0,0,0,4,4,0,25,4,0
"850","generaals",0,0,0,0,0,0,0,0,4,0,0
"851","genomen",0,0,0,0,0,0,2,0,0,0,0
"852","genoodigden",0,0,0,0,0,0,0,4,0,0,0
"853","genootschap",0,0,0,0,0,0,0,2,0,0,0
"854","genootschappen",0,0,3,0,7,5,5,2,13,0,7
"855","genoteerde",0,0,0,0,0,8,0,0,0,0,0
"856","genoten",0,0,0,0,0,0,2,0,0,0,0
"857","geprepareerde",0,0,0,0,0,0,0,0,2,0,0
"858","geraffineerde",0,0,0,0,0,0,0,0,3,0,0
"859","gereformeerde",0,0,0,0,0,0,0,0,3,0,0
"860","gerst",0,0,0,10,8,5,0,0,11,4,0
"861","geschillen",0,0,0,0,0,4,0,0,0,0,0
"862","geschriften",0,0,0,2,0,0,0,0,0,9,2
"863","gesprekken",0,0,0,0,0,0,0,0,0,0,2
"864","gesteldheid",0,0,2,0,0,0,0,0,0,0,0
"865","gestichten",0,0,0,3,14,0,0,0,0,0,0
"866","getuigen",0,0,0,0,0,2,0,2,5,3,0
"867","getuigschriften",0,0,0,0,0,0,0,4,10,6,0
"868","geurzen",0,0,0,0,0,0,0,0,0,0,2
"869","gevaar",0,0,0,0,0,0,0,0,1,0,0
"870","gevangenissen",0,0,0,0,15,0,0,0,8,0,0
"871","gevaren",0,0,0,2,0,6,0,2,2,0,0
"872","gevolmachtigden",0,0,0,0,0,0,0,0,1,0,0
"873","gevolmagtigden",0,0,0,0,2,0,0,0,0,0,0
"874","gevraagd",0,0,0,0,4,0,0,0,0,0,0
"875","gewassen",0,0,0,0,0,0,0,0,0,2,0
"876","gewenscht",0,0,0,0,2,0,0,0,0,0,0
"877","gewesten",0,0,0,0,0,2,0,0,0,0,0
"878","geweven",3,0,0,0,0,0,0,0,0,0,0
"879","geworden",0,0,0,0,0,0,0,0,1,0,0
"880","gezagvoerders",0,0,0,0,0,0,0,0,1,0,0
"881","gezanlen",0,0,2,0,0,0,0,0,0,0,0
"882","gezant",0,0,0,0,0,0,0,0,1,0,0
"883","gezanten",5,24,28,17,60,164,74,47,127,142,103
"884","gezantschappen",2,2,4,2,10,9,2,0,5,13,7
"885","gezellen",0,0,0,0,0,0,0,6,0,0,0
"886","gezelschappen",0,0,0,0,0,0,0,0,1,4,2
"887","gezocht",0,0,0,0,2,0,0,0,0,0,0
"888","ging",0,0,6,0,19,22,35,79,9,0,0
"889","gingen",0,0,0,0,0,0,2,2,0,0,0
"890","gist",3,0,0,0,0,0,0,0,2,0,0
"891","gistimporteurs",0,0,0,0,0,0,0,0,1,0,0
"892","goed",0,0,0,0,0,2,0,0,0,0,0
"893","goederen",2,2,2,7,17,9,14,16,58,24,10
"894","goederenloods",0,0,0,0,0,0,2,0,0,0,0
"895","goevernementen",0,0,0,0,0,0,2,0,0,0,0
"896","gort",0,0,0,0,0,0,0,0,4,0,0
"897","gouden",0,0,2,0,0,2,0,0,2,2,0
"898","goudleening",0,0,0,0,0,0,0,0,0,0,2
"899","goudleeningen",0,0,0,0,0,0,0,0,0,2,0
"900","goudonttrekkingen",0,0,0,0,0,0,0,0,0,0,2
"901","goudschuld",0,0,0,0,0,0,0,0,0,2,0
"902","gouvernementen",0,2,0,9,50,45,13,0,0,0,2
"903","gr",0,0,0,0,0,0,0,0,0,2,0
"904","graan",0,6,5,6,2,0,0,11,10,2,0
"905","graanhandel",0,4,10,0,0,0,0,0,2,0,0
"906","graanmarkten",0,0,0,0,0,7,4,0,0,0,0
"907","graanschepen",0,0,0,0,0,0,0,0,0,2,0
"908","graansoorten",0,0,0,0,4,0,0,0,3,0,0
"909","graauwe",0,0,0,0,0,3,0,0,0,0,0
"910","granen",0,57,64,29,15,32,212,655,2149,1757,787
"911","granon",0,0,0,0,0,0,0,4,0,5,0
"912","grases",0,0,0,0,0,0,0,0,0,2,0
"913","grenzen",0,0,0,0,0,0,0,0,23,0,2
"914","groepen",0,0,0,0,0,0,0,0,0,0,3
"915","grondeigenaars",0,0,0,0,0,0,0,0,3,0,0
"916","grondstoffen",0,0,0,4,0,0,0,2,0,0,0
"917","groote",0,0,0,0,0,2,0,4,0,2,2
"918","grootwaardigheidsbekleeders",0,0,0,0,0,0,0,0,0,0,2
"919","grossiers",0,0,0,0,0,0,0,0,0,0,2
"920","gunstig",0,0,0,0,0,0,9,0,0,0,0
"921","gunstiger",0,0,0,0,0,0,3,0,0,0,0
"922","gymnasten",0,0,0,0,0,0,0,0,1,0,0
"923","h",0,0,0,0,7,0,0,0,1,2,0
"924","hadden",0,0,0,0,0,0,2,0,0,0,0
